,temp_min,temp_max,temp_mean,temp_median,temp_max_hour,temp_min_hour,dew_point_temp_min,dew_point_temp_max,dew_point_temp_mean,dew_point_temp_median,dew_point_temp_max_hour,dew_point_temp_min_hour,rel_hum_min,rel_hum_max,rel_hum_mean,rel_hum_median,rel_hum_max_hour,rel_hum_min_hour,visibility_min,visibility_max,visibility_mean,visibility_median,visibility_max_hour,visibility_min_hour,press_min,press_max,press_mean,press_median,press_max_hour,press_min_hour,hmdxx_min,hmdxx_max,hmdxx_mean,hmdxx_median,hmdxx_max_hour,hmdxx_min_hour,sun_set,sun_rise,hourly_demand,day_of_week,week_of_year,year
1994-02-02,-17.5,-4.8,-11.0,-10.3,23.0,6.0,-20.2,-9.3,-15.091666666666667,-15.05,21.0,5.0,63.0,84.0,72.16666666666667,71.5,6.0,15.0,4.8,25.0,20.14166666666667,24.55,11.0,6.0,98.76,100.09,99.67333333333333,99.92,0.0,23.0,-22.317254095335286,-8.669643518623175,-15.445268575379409,-14.794330244284112,23.0,6.0,18.0,8.0,17725.0,2.0,5.0,1994.0
1994-02-03,-11.5,-4.6,-8.970833333333333,-9.55,0.0,21.0,-16.8,-6.3,-13.345833333333333,-15.15,2.0,12.0,57.0,90.0,70.79166666666667,68.0,2.0,12.0,2.4,40.2,23.1125,25.0,10.0,5.0,98.39,99.82,99.20791666666666,99.45,23.0,2.0,-16.084224566421124,-8.331877774000947,-13.257953471385653,-13.955579120953708,2.0,23.0,18.0,8.0,18000.0,3.0,5.0,1994.0
1994-02-04,-11.6,-5.4,-8.570833333333333,-8.95,13.0,0.0,-16.2,-9.9,-13.120833333333332,-13.05,12.0,0.0,65.0,77.0,69.70833333333333,69.5,7.0,3.0,12.9,40.2,25.162499999999998,25.0,15.0,6.0,99.42,99.79,99.60291666666666,99.605,0.0,23.0,-16.184224566421122,-9.456394656144106,-12.866801400484322,-13.283472319199447,13.0,0.0,18.0,8.0,17351.0,4.0,5.0,1994.0
1994-02-05,-12.4,-2.8,-8.420833333333333,-8.8,15.0,8.0,-18.1,-8.4,-12.916666666666666,-12.8,15.0,8.0,62.0,81.0,70.16666666666667,69.5,2.0,8.0,24.1,40.2,29.3625,25.0,12.0,20.0,98.46,99.35,98.91666666666667,98.96,0.0,14.0,-17.125414812604188,-6.547758856439964,-12.68184398487355,-13.055679865600105,15.0,8.0,18.0,8.0,16633.0,5.0,5.0,1994.0
1994-02-06,-12.8,-2.9,-8.220833333333333,-9.2,17.0,3.0,-16.7,-4.8,-11.658333333333333,-12.399999999999999,19.0,23.0,65.0,89.0,76.375,75.5,18.0,23.0,25.0,32.2,25.900000000000002,25.0,11.0,0.0,98.92,99.59,99.26875,99.35,23.0,15.0,-17.407871614816223,-6.276662629684901,-12.314918959299485,-13.432962858521968,19.0,3.0,18.0,8.0,16703.0,6.0,5.0,1994.0
1994-02-07,-16.6,-11.5,-14.358333333333334,-14.75,14.0,8.0,-22.4,-17.3,-20.129166666666666,-20.3,14.0,17.0,46.0,71.0,61.833333333333336,63.0,9.0,17.0,16.1,32.2,23.991666666666664,25.0,17.0,9.0,99.69,100.92,100.4225,100.49,21.0,0.0,-21.505349090787888,-16.168404568357616,-19.208717835854635,-19.616948607832924,14.0,8.0,18.0,8.0,18692.0,0.0,6.0,1994.0
1994-02-08,-18.5,-14.4,-16.5,-16.55,14.0,7.0,-22.8,-17.8,-20.416666666666668,-20.55,13.0,6.0,56.0,78.0,71.875,73.5,11.0,18.0,2.4,25.0,10.7125,4.8,0.0,22.0,99.29,100.85,100.27458333333334,100.42,0.0,23.0,-23.458662139277504,-19.104436939910368,-21.366248872223007,-21.3944733229499,14.0,7.0,18.0,8.0,19057.0,1.0,6.0,1994.0
1994-02-09,-19.2,-15.0,-17.120833333333334,-16.9,16.0,23.0,-23.4,-19.6,-21.337500000000002,-21.25,0.0,23.0,62.0,78.0,69.66666666666667,69.5,1.0,15.0,2.4,32.2,19.650000000000002,24.1,15.0,0.0,99.12,100.62,99.65958333333333,99.59,23.0,2.0,-24.22664694172344,-19.86549918845261,-22.04183840754457,-21.82922461318132,16.0,23.0,18.0,8.0,19162.0,2.0,6.0,1994.0
1994-02-10,-23.5,-12.0,-17.354166666666668,-16.75,16.0,8.0,-28.2,-14.8,-21.84166666666667,-22.9,16.0,8.0,54.0,80.0,68.25,68.5,16.0,13.0,1.2,40.2,21.808333333333334,25.0,8.0,15.0,100.75,101.59,101.24916666666667,101.29,10.0,0.0,-28.70980105648303,-16.466652373358887,-22.261071051640275,-21.750948035724747,16.0,8.0,18.0,8.0,18588.0,3.0,6.0,1994.0
1994-02-11,-17.5,-8.8,-13.6,-14.1,16.0,22.0,-23.0,-14.0,-17.65,-17.25,14.0,22.0,62.0,85.0,71.70833333333333,72.0,7.0,22.0,4.0,25.0,18.720833333333335,19.3,0.0,10.0,100.39,100.99,100.6875,100.72,0.0,14.0,-22.507978507258304,-13.22163837791414,-18.280442898549058,-18.722629512569462,16.0,22.0,18.0,8.0,18041.0,4.0,6.0,1994.0
1994-02-12,-19.0,-3.8,-9.866666666666665,-6.25,14.0,5.0,-23.4,-5.4,-12.737499999999999,-8.9,14.0,5.0,65.0,91.0,79.625,81.0,18.0,7.0,4.0,25.0,17.745833333333334,16.1,0.0,22.0,99.16,100.85,100.31208333333332,100.58500000000001,7.0,23.0,-24.026646941723442,-7.0818896286038715,-13.96314948682425,-10.060701463558951,14.0,5.0,18.0,8.0,16608.0,5.0,6.0,1994.0
1994-02-13,-11.5,-3.2,-5.220833333333333,-4.9,0.0,23.0,-16.7,-3.9,-7.841666666666666,-7.4,0.0,23.0,65.0,98.0,82.16666666666667,81.5,1.0,23.0,0.8,25.0,16.004166666666666,20.1,14.0,1.0,98.79,99.75,99.29833333333333,99.42,23.0,3.0,-16.12334547920415,-6.210583222290037,-8.851310164431995,-8.407390701338255,0.0,23.0,18.0,8.0,16726.0,6.0,6.0,1994.0
1994-02-14,-17.8,-8.0,-11.924999999999999,-11.45,15.0,7.0,-22.1,-12.9,-17.275000000000002,-16.35,17.0,7.0,57.0,73.0,64.70833333333333,64.0,2.0,15.0,24.1,40.2,27.762500000000003,25.0,8.0,3.0,99.75,100.45,100.16875,100.205,11.0,0.0,-22.76376904750185,-12.286503291188662,-16.569894850112764,-16.08028508304499,17.0,7.0,18.0,8.0,17635.0,0.0,7.0,1994.0
1994-02-15,-10.6,1.2,-4.095833333333333,-3.4000000000000004,13.0,4.0,-13.5,-2.4,-7.616666666666667,-7.0,13.0,4.0,66.0,88.0,76.625,77.0,9.0,5.0,12.9,25.0,18.933333333333334,19.3,0.0,8.0,98.99,100.05,99.43374999999999,99.4,23.0,12.0,-14.94610612011021,-1.510458907299254,-7.689898643232106,-6.941825172507526,13.0,4.0,18.0,8.0,16981.0,1.0,7.0,1994.0
1994-02-16,-9.0,-2.2,-5.316666666666666,-5.05,16.0,5.0,-11.8,-7.0,-9.554166666666667,-9.45,0.0,9.0,59.0,87.0,72.58333333333333,72.5,6.0,14.0,9.7,32.2,25.516666666666666,25.0,8.0,7.0,100.09,100.99,100.7325,100.87,11.0,0.0,-13.159266203625872,-6.016419356550538,-9.212466328329176,-8.945518292198361,16.0,5.0,18.0,8.0,16654.0,2.0,7.0,1994.0
1994-02-17,-5.0,4.8,-0.43333333333333335,0.15000000000000002,15.0,4.0,-8.6,-0.8,-4.366666666666666,-3.1,17.0,4.0,62.0,86.0,75.0,75.5,23.0,15.0,6.4,25.0,14.375,9.7,0.0,20.0,100.22,100.62,100.40333333333332,100.39,0.0,15.0,-8.77551122135108,2.329486111321122,-3.4796041814463456,-2.506582529836769,16.0,4.0,18.0,8.0,15786.0,3.0,7.0,1994.0
1994-02-18,-5.9,5.5,-0.26249999999999996,-0.8,15.0,7.0,-8.2,1.5,-2.2291666666666665,-2.3,14.0,7.0,74.0,95.0,86.95833333333333,90.5,8.0,10.0,2.4,9.7,5.241666666666666,4.8,16.0,5.0,100.42,100.79,100.57125,100.57,10.0,21.0,-9.619616690174405,3.7245020114946614,-2.878837872538696,-3.400965046458526,15.0,7.0,18.0,8.0,14842.0,4.0,7.0,1994.0
